Ref_file	Query_file	ANI	Align_fraction_ref	Align_fraction_query	Ref_name	Query_name
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/AC171169.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MT074448.fasta	94.18	62.20	59.36	AC171169.12 Escherichia phage H8 clone h8_phage, WORKING DRAFT SEQUENCE	MT074448.1 Salmonella phage oldekolle, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/AC171169.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MN994496.fasta	92.94	53.28	47.08	AC171169.12 Escherichia phage H8 clone h8_phage, WORKING DRAFT SEQUENCE	MN994496.1 Phage NBEco002, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/AC171169.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MN316588.fasta	94.16	63.02	60.54	AC171169.12 Escherichia phage H8 clone h8_phage, WORKING DRAFT SEQUENCE	MN316588.1 Escherichia phage VEc33, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/AC171169.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MK972715.fasta	92.07	48.19	46.67	AC171169.12 Escherichia phage H8 clone h8_phage, WORKING DRAFT SEQUENCE	MK972715.1 Salmonella phage SE11, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/AC171169.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MH370378.fasta	94.04	56.44	53.51	AC171169.12 Escherichia phage H8 clone h8_phage, WORKING DRAFT SEQUENCE	MH370378.1 Salmonella phage S131, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/AC171169.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MF402939.fasta	93.86	56.17	52.86	AC171169.12 Escherichia phage H8 clone h8_phage, WORKING DRAFT SEQUENCE	MF402939.1 Escherichia phage OSYSP, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/AC171169.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/KY963424.fasta	91.68	51.17	47.14	AC171169.12 Escherichia phage H8 clone h8_phage, WORKING DRAFT SEQUENCE	KY963424.1 Shigella phage SSP1, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/AC171169.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/KX130863.fasta	95.17	76.71	74.10	AC171169.12 Escherichia phage H8 clone h8_phage, WORKING DRAFT SEQUENCE	KX130863.1 Shigella phage SHSML-45, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/AC171169.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/KP143763.fasta	95.44	76.00	66.05	AC171169.12 Escherichia phage H8 clone h8_phage, WORKING DRAFT SEQUENCE	KP143763.1 Salmonella phage Shivani, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/AC171169.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/KJ190157.fasta	93.39	61.02	58.71	AC171169.12 Escherichia phage H8 clone h8_phage, WORKING DRAFT SEQUENCE	KJ190157.1 Escherichia phage vB_EcoS_FFH1, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/AC171169.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/AY543070.fasta	95.08	60.87	52.18	AC171169.12 Escherichia phage H8 clone h8_phage, WORKING DRAFT SEQUENCE	AY543070.1 Escherichia phage T5, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/AC171169.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MN994502.fasta	92.89	52.98	46.31	AC171169.12 Escherichia phage H8 clone h8_phage, WORKING DRAFT SEQUENCE	MN994502.1 Phage NBSal003, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/AC171169.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MN956514.fasta	92.22	53.30	46.97	AC171169.12 Escherichia phage H8 clone h8_phage, WORKING DRAFT SEQUENCE	MN956514.1 Salmonella phage L6jm, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/AC171169.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MN022787.fasta	93.57	61.57	58.61	AC171169.12 Escherichia phage H8 clone h8_phage, WORKING DRAFT SEQUENCE	MN022787.1 Salmonella phage VSe12, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/AC171169.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MH745368.fasta	90.70	52.68	50.21	AC171169.12 Escherichia phage H8 clone h8_phage, WORKING DRAFT SEQUENCE	MH745368.2 Escherichia phage fp01, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/AC171169.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MF431730.fasta	94.17	59.52	51.51	AC171169.12 Escherichia phage H8 clone h8_phage, WORKING DRAFT SEQUENCE	MF431730.1 Escherichia phage chee24, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/AC171169.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/LN887948.fasta	92.34	46.44	43.38	AC171169.12 Escherichia phage H8 clone h8_phage, WORKING DRAFT SEQUENCE	LN887948.1 Escherichia phage slur09 genome assembly slu09, chromosome : 1
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/AC171169.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/KY114934.fasta	91.55	53.99	47.82	AC171169.12 Escherichia phage H8 clone h8_phage, WORKING DRAFT SEQUENCE	KY114934.1 Salmonella phage SP01, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/AC171169.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/KR233164.fasta	91.41	61.03	57.22	AC171169.12 Escherichia phage H8 clone h8_phage, WORKING DRAFT SEQUENCE	KR233164.1 Salmonella phage NR01, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/AC171169.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/KM979354.fasta	93.56	54.58	52.72	AC171169.12 Escherichia phage H8 clone h8_phage, WORKING DRAFT SEQUENCE	KM979354.1 Escherichia phage DT57C, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/AC171169.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/HQ406778.fasta	91.30	54.41	47.98	AC171169.12 Escherichia phage H8 clone h8_phage, WORKING DRAFT SEQUENCE	HQ406778.1 Salmonella phage Spc35, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MN994504.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MT074448.fasta	95.47	63.92	70.74	MN994504.1 Phage NBSal005, complete genome	MT074448.1 Salmonella phage oldekolle, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MN970211.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MT074448.fasta	96.04	80.34	85.66	MN970211.1 Phage NBEco001, complete genome	MT074448.1 Salmonella phage oldekolle, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MN970211.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MN994496.fasta	94.89	73.33	72.39	MN970211.1 Phage NBEco001, complete genome	MN994496.1 Phage NBEco002, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MN970211.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MN994504.fasta	94.65	71.07	68.47	MN970211.1 Phage NBEco001, complete genome	MN994504.1 Phage NBSal005, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MN970211.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MN994502.fasta	96.42	89.90	87.79	MN970211.1 Phage NBEco001, complete genome	MN994502.1 Phage NBSal003, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MN026741.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MT074448.fasta	93.66	75.65	76.41	MN026741.1 Salmonella phage Th1, complete genome	MT074448.1 Salmonella phage oldekolle, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MN026741.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MN994496.fasta	94.74	72.04	67.37	MN026741.1 Salmonella phage Th1, complete genome	MN994496.1 Phage NBEco002, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MN026741.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MN316588.fasta	94.49	63.87	64.94	MN026741.1 Salmonella phage Th1, complete genome	MN316588.1 Escherichia phage VEc33, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MN026741.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MN994504.fasta	94.92	72.77	66.41	MN026741.1 Salmonella phage Th1, complete genome	MN994504.1 Phage NBSal005, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MN026741.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MN970211.fasta	94.07	81.53	77.24	MN026741.1 Salmonella phage Th1, complete genome	MN970211.1 Phage NBEco001, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MN026741.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MN994502.fasta	94.47	86.22	79.76	MN026741.1 Salmonella phage Th1, complete genome	MN994502.1 Phage NBSal003, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MN026741.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MN956514.fasta	95.19	78.72	73.42	MN026741.1 Salmonella phage Th1, complete genome	MN956514.1 Salmonella phage L6jm, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MK373796.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MT074448.fasta	95.72	72.64	79.78	MK373796.1 Escherichia phage vB_EcoS_HdH2, complete genome	MT074448.1 Salmonella phage oldekolle, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MK373796.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MN994496.fasta	94.02	66.18	67.30	MK373796.1 Escherichia phage vB_EcoS_HdH2, complete genome	MN994496.1 Phage NBEco002, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MK373796.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MN316588.fasta	94.59	70.79	78.27	MK373796.1 Escherichia phage vB_EcoS_HdH2, complete genome	MN316588.1 Escherichia phage VEc33, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MK373796.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MK972715.fasta	94.10	62.22	69.36	MK373796.1 Escherichia phage vB_EcoS_HdH2, complete genome	MK972715.1 Salmonella phage SE11, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MK373796.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MN994502.fasta	94.55	83.33	83.82	MK373796.1 Escherichia phage vB_EcoS_HdH2, complete genome	MN994502.1 Phage NBSal003, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MK373796.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MN956514.fasta	93.35	66.30	67.24	MK373796.1 Escherichia phage vB_EcoS_HdH2, complete genome	MN956514.1 Salmonella phage L6jm, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MK373796.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MN022787.fasta	94.49	70.97	77.74	MK373796.1 Escherichia phage vB_EcoS_HdH2, complete genome	MN022787.1 Salmonella phage VSe12, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MK373796.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MN994504.fasta	93.23	59.81	59.36	MK373796.1 Escherichia phage vB_EcoS_HdH2, complete genome	MN994504.1 Phage NBSal005, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MK373796.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MN970211.fasta	95.45	76.27	78.57	MK373796.1 Escherichia phage vB_EcoS_HdH2, complete genome	MN970211.1 Phage NBEco001, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MK373796.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MN026741.fasta	94.25	63.43	68.98	MK373796.1 Escherichia phage vB_EcoS_HdH2, complete genome	MN026741.1 Salmonella phage Th1, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MH203051.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MT074448.fasta	93.31	62.03	57.65	MH203051.1 Escherichia phage Gostya9, complete genome	MT074448.1 Salmonella phage oldekolle, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MH203051.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MN994496.fasta	92.21	63.07	54.28	MH203051.1 Escherichia phage Gostya9, complete genome	MN994496.1 Phage NBEco002, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MH203051.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MN316588.fasta	93.90	56.99	53.33	MH203051.1 Escherichia phage Gostya9, complete genome	MN316588.1 Escherichia phage VEc33, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MH203051.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MK972715.fasta	91.88	52.83	49.84	MH203051.1 Escherichia phage Gostya9, complete genome	MK972715.1 Salmonella phage SE11, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MH203051.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MH370378.fasta	92.47	62.82	58.01	MH203051.1 Escherichia phage Gostya9, complete genome	MH370378.1 Salmonella phage S131, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MH203051.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MN994502.fasta	91.88	59.57	50.72	MH203051.1 Escherichia phage Gostya9, complete genome	MN994502.1 Phage NBSal003, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MH203051.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MN956514.fasta	91.56	55.24	47.41	MH203051.1 Escherichia phage Gostya9, complete genome	MN956514.1 Salmonella phage L6jm, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MH203051.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MN022787.fasta	93.60	60.63	56.22	MH203051.1 Escherichia phage Gostya9, complete genome	MN022787.1 Salmonella phage VSe12, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MH203051.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MH745368.fasta	91.90	66.35	61.60	MH203051.1 Escherichia phage Gostya9, complete genome	MH745368.2 Escherichia phage fp01, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MH203051.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MN994504.fasta	91.93	60.58	50.88	MH203051.1 Escherichia phage Gostya9, complete genome	MN994504.1 Phage NBSal005, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MH203051.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MN970211.fasta	92.77	64.53	56.27	MH203051.1 Escherichia phage Gostya9, complete genome	MN970211.1 Phage NBEco001, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MH203051.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MN026741.fasta	92.21	61.32	56.44	MH203051.1 Escherichia phage Gostya9, complete genome	MN026741.1 Salmonella phage Th1, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MH203051.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MK373796.fasta	93.19	67.02	56.72	MH203051.1 Escherichia phage Gostya9, complete genome	MK373796.1 Escherichia phage vB_EcoS_HdH2, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/LR027384.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MT074448.fasta	95.14	76.32	75.08	LR027384.1 Escherichia virus vB_Eco_mar004NP2 genome assembly, chromosome: 1	MT074448.1 Salmonella phage oldekolle, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/LR027384.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MN994496.fasta	94.58	77.87	70.94	LR027384.1 Escherichia virus vB_Eco_mar004NP2 genome assembly, chromosome: 1	MN994496.1 Phage NBEco002, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/LR027384.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MN316588.fasta	94.81	85.47	84.65	LR027384.1 Escherichia virus vB_Eco_mar004NP2 genome assembly, chromosome: 1	MN316588.1 Escherichia phage VEc33, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/LR027384.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MK972715.fasta	94.33	65.10	65.00	LR027384.1 Escherichia virus vB_Eco_mar004NP2 genome assembly, chromosome: 1	MK972715.1 Salmonella phage SE11, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/LR027384.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MH370378.fasta	94.78	78.87	77.09	LR027384.1 Escherichia virus vB_Eco_mar004NP2 genome assembly, chromosome: 1	MH370378.1 Salmonella phage S131, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/LR027384.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MF402939.fasta	94.47	88.69	86.05	LR027384.1 Escherichia virus vB_Eco_mar004NP2 genome assembly, chromosome: 1	MF402939.1 Escherichia phage OSYSP, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/LR027384.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MN994504.fasta	95.12	78.00	69.34	LR027384.1 Escherichia virus vB_Eco_mar004NP2 genome assembly, chromosome: 1	MN994504.1 Phage NBSal005, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/LR027384.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MN970211.fasta	94.58	73.09	67.44	LR027384.1 Escherichia virus vB_Eco_mar004NP2 genome assembly, chromosome: 1	MN970211.1 Phage NBEco001, complete genome
/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/LR027384.fasta	/hpcfs/home/ciencias_biologicas/na.portilla10/phallet/Blast_Feed/Tequintavirus/MN026741.fasta	94.63	73.19	71.29	LR027384.1 Escherichia virus vB_Eco_mar004NP2 genome assembly, chromosome: 1	MN026741.1 Salmonella phage Th1, complete genome
