FQ312032.1 Salmonella phage Vi01 complete sequence,"HQ259103.1 Salmonella phage SFP10, complete genome","JN126049.1 Salmonella phage PhiSH19, complete genome","JN593240.1 Escherichia phage Cba120, complete genome","JX128257.1 Escherichia phage ECML-4, complete genome","KF669653.1 Salmonella phage Marshall, complete genome","KF669654.1 Salmonella phage Maynard, complete genome","KJ174317.1 Salmonella phage vB_SalM_SJ2, complete genome","KJ174318.1 Salmonella phage vB_SalM_SJ3, complete genome","KP797973.1 Salmonella phage Det7, complete genome","KR296692.1 Salmonella phage 38, complete genome","KX245012.1 Salmonella phage GG32, complete genome","KX438380.2 Salmonella phage vB-SalM-PM10, complete genome","KX765865.1 Salmonella phage ST-W77, complete genome","KY787213.1 Salmonella phage BSP101, complete genome","MG383452.2 Escherichia phage FEC14, complete genome","MG428992.1 Salmonella phage Mutine, complete genome","MG748547.1 Escherichia phage EP75, complete genome","MH370371.1 Salmonella phage S118, complete genome","MH709120.1 Salmonella phage SenASZ3, complete genome","MH709121.1 Salmonella phage SenALZ1, complete genome","MH791405.1 UNVERIFIED: Salmonella phage SeSz-1, complete genome","MK972690.1 Salmonella phage SE14, complete genome","MK972699.1 Salmonella phage SS9, complete genome","MN871491.1 UNVERIFIED_ORG: Salmonella phage Se-B, complete genome","MN871495.1 UNVERIFIED_ORG: Salmonella phage Se-G, complete genome","MN871498.1 UNVERIFIED_ORG: Salmonella phage Se-J, complete genome","MT074469.1 Salmonella phage rabagast, complete genome","MT074470.1 Salmonella phage heyday, complete genome","MT074471.1 Salmonella phage allotria, complete genome","MT074472.1 Salmonella phage bering, complete genome","MT074474.1 Salmonella phage aagejoakim, complete genome","MT074475.1 Salmonella phage dinky, complete genome","MT074477.1 Salmonella phage barely, complete genome","MT074478.1 Salmonella phage moki, complete genome","MT074479.1 Salmonella phage pertopsoe, complete genome","MT074480.1 Salmonella phage maane, complete genome"
0.154,0.63,0.546,0.612,0.18,0.22,0.182,0.198,0.53,0.444,0.516,0.61,0.478,0.546,0.678,0.564,0.424,0.358,0.458,0.498,0.554,0.532,0.528,0.44,1.0,0.562,0.37,0.45,0.566,0.368,0.452,0.576,0.514,0.418,0.644,0.344,0.392
0.126,0.538,0.538,0.532,0.144,0.174,0.148,0.166,0.532,0.42,0.502,0.548,0.506,0.546,0.572,0.484,0.394,0.302,0.386,0.524,0.562,0.502,0.492,0.42,0.562,1.0,0.364,0.392,0.5,0.374,0.438,0.518,0.536,0.422,0.556,0.334,0.386
0.204,0.408,0.364,0.378,0.228,0.244,0.212,0.21,0.344,0.396,0.348,0.404,0.35,0.346,0.368,0.372,0.322,0.272,0.316,0.348,0.39,0.39,0.37,0.34,0.37,0.364,1.0,0.338,0.386,0.312,0.334,0.384,0.37,0.308,0.36,0.276,0.372
0.196,0.494,0.41,0.496,0.226,0.232,0.216,0.192,0.404,0.372,0.404,0.5,0.434,0.41,0.452,0.448,0.394,0.364,0.764,0.358,0.424,0.416,0.434,0.386,0.45,0.392,0.338,1.0,0.474,0.308,0.39,0.468,0.396,0.344,0.45,0.28,0.318
0.146,0.57,0.514,0.532,0.18,0.214,0.19,0.18,0.53,0.44,0.48,0.562,0.478,0.542,0.636,0.5,0.398,0.352,0.436,0.482,0.516,0.516,0.578,0.434,0.566,0.5,0.386,0.474,1.0,0.362,0.452,0.558,0.604,0.404,0.574,0.334,0.384
0.172,0.374,0.382,0.378,0.174,0.178,0.162,0.178,0.37,0.324,0.342,0.358,0.362,0.35,0.388,0.374,0.298,0.26,0.31,0.382,0.36,0.366,0.372,0.292,0.368,0.374,0.312,0.308,0.362,1.0,0.33,0.396,0.358,0.326,0.368,0.506,0.672
0.186,0.458,0.45,0.466,0.21,0.236,0.204,0.212,0.41,0.42,0.406,0.462,0.392,0.408,0.456,0.406,0.406,0.37,0.436,0.388,0.458,0.456,0.432,0.368,0.452,0.438,0.334,0.39,0.452,0.33,1.0,0.434,0.414,0.37,0.446,0.322,0.348
0.15,0.616,0.488,0.606,0.188,0.206,0.17,0.194,0.52,0.41,0.498,0.548,0.486,0.518,0.598,0.552,0.392,0.354,0.456,0.49,0.526,0.504,0.526,0.414,0.576,0.518,0.384,0.468,0.558,0.396,0.434,1.0,0.548,0.418,0.586,0.346,0.428
0.132,0.57,0.52,0.516,0.16,0.218,0.17,0.184,0.528,0.418,0.524,0.524,0.538,0.52,0.554,0.496,0.372,0.32,0.396,0.522,0.55,0.604,0.592,0.398,0.514,0.536,0.37,0.396,0.604,0.358,0.414,0.548,1.0,0.408,0.53,0.336,0.404
0.214,0.422,0.42,0.434,0.262,0.232,0.212,0.272,0.434,0.426,0.382,0.442,0.426,0.42,0.424,0.394,0.418,0.33,0.314,0.386,0.412,0.442,0.39,0.392,0.418,0.422,0.308,0.344,0.404,0.326,0.37,0.418,0.408,1.0,0.406,0.292,0.348
0.124,0.632,0.576,0.608,0.156,0.196,0.158,0.166,0.576,0.45,0.528,0.624,0.482,0.574,0.664,0.554,0.388,0.35,0.436,0.516,0.588,0.512,0.534,0.42,0.644,0.556,0.36,0.45,0.574,0.368,0.446,0.586,0.53,0.406,1.0,0.338,0.402
0.168,0.338,0.354,0.344,0.188,0.196,0.182,0.2,0.344,0.314,0.322,0.326,0.328,0.32,0.346,0.348,0.254,0.264,0.304,0.364,0.336,0.358,0.34,0.284,0.344,0.334,0.276,0.28,0.334,0.506,0.322,0.346,0.336,0.292,0.338,1.0,0.47
0.158,0.398,0.388,0.406,0.186,0.206,0.186,0.19,0.402,0.376,0.376,0.388,0.388,0.38,0.4,0.4,0.326,0.274,0.322,0.424,0.414,0.446,0.404,0.318,0.392,0.386,0.372,0.318,0.384,0.672,0.348,0.428,0.404,0.348,0.402,0.47,1.0
