FQ312032.1 Salmonella phage Vi01 complete sequence,"HQ259103.1 Salmonella phage SFP10, complete genome","JN126049.1 Salmonella phage PhiSH19, complete genome","JN593240.1 Escherichia phage Cba120, complete genome","JX128257.1 Escherichia phage ECML-4, complete genome","KF669653.1 Salmonella phage Marshall, complete genome","KF669654.1 Salmonella phage Maynard, complete genome","KJ174317.1 Salmonella phage vB_SalM_SJ2, complete genome","KJ174318.1 Salmonella phage vB_SalM_SJ3, complete genome","KP797973.1 Salmonella phage Det7, complete genome","KR296692.1 Salmonella phage 38, complete genome","KX245012.1 Salmonella phage GG32, complete genome","KX438380.2 Salmonella phage vB-SalM-PM10, complete genome","KX765865.1 Salmonella phage ST-W77, complete genome","KY787213.1 Salmonella phage BSP101, complete genome","MG383452.2 Escherichia phage FEC14, complete genome","MG428992.1 Salmonella phage Mutine, complete genome","MG748547.1 Escherichia phage EP75, complete genome","MH370371.1 Salmonella phage S118, complete genome","MH709120.1 Salmonella phage SenASZ3, complete genome","MH709121.1 Salmonella phage SenALZ1, complete genome","MH791405.1 UNVERIFIED: Salmonella phage SeSz-1, complete genome","MK972690.1 Salmonella phage SE14, complete genome","MK972699.1 Salmonella phage SS9, complete genome","MN871491.1 UNVERIFIED_ORG: Salmonella phage Se-B, complete genome","MN871495.1 UNVERIFIED_ORG: Salmonella phage Se-G, complete genome","MN871498.1 UNVERIFIED_ORG: Salmonella phage Se-J, complete genome","MT074469.1 Salmonella phage rabagast, complete genome","MT074470.1 Salmonella phage heyday, complete genome","MT074471.1 Salmonella phage allotria, complete genome","MT074472.1 Salmonella phage bering, complete genome","MT074474.1 Salmonella phage aagejoakim, complete genome","MT074475.1 Salmonella phage dinky, complete genome","MT074477.1 Salmonella phage barely, complete genome","MT074478.1 Salmonella phage moki, complete genome"
0.106,0.468,0.504,0.462,0.112,0.154,0.138,0.142,0.502,0.36,1.0,0.438,0.562,0.478,0.51,0.436,0.342,0.286,0.35,0.454,0.466,0.478,0.472,0.358,0.474,0.486,0.242,0.338,0.412,0.302,0.31,0.418,0.504,0.33,0.468
0.114,0.67,0.472,0.518,0.132,0.18,0.148,0.162,0.458,0.39,0.438,1.0,0.5,0.464,0.538,0.504,0.364,0.302,0.422,0.426,0.492,0.48,0.484,0.426,0.548,0.466,0.324,0.436,0.49,0.344,0.348,0.502,0.466,0.394,0.544
0.1,0.494,0.522,0.506,0.112,0.16,0.144,0.144,0.544,0.408,0.562,0.5,1.0,0.532,0.504,0.446,0.388,0.29,0.374,0.436,0.486,0.504,0.506,0.384,0.476,0.488,0.286,0.392,0.448,0.338,0.316,0.43,0.536,0.398,0.486
0.102,0.496,0.53,0.522,0.122,0.162,0.136,0.15,0.606,0.38,0.478,0.464,0.532,1.0,0.52,0.484,0.378,0.314,0.352,0.478,0.496,0.454,0.514,0.396,0.494,0.5,0.292,0.372,0.46,0.304,0.332,0.464,0.474,0.356,0.546
0.112,0.58,0.534,0.566,0.13,0.18,0.154,0.154,0.488,0.388,0.51,0.538,0.504,0.52,1.0,0.57,0.39,0.294,0.408,0.432,0.526,0.47,0.52,0.434,0.614,0.5,0.288,0.388,0.592,0.332,0.354,0.506,0.51,0.352,0.63
0.12,0.562,0.466,0.59,0.146,0.172,0.146,0.168,0.472,0.372,0.436,0.504,0.446,0.484,0.57,1.0,0.374,0.284,0.392,0.43,0.484,0.418,0.476,0.418,0.534,0.444,0.29,0.394,0.444,0.342,0.342,0.492,0.454,0.35,0.538
0.19,0.376,0.376,0.434,0.214,0.202,0.188,0.234,0.362,0.306,0.342,0.364,0.388,0.378,0.39,0.374,1.0,0.272,0.396,0.366,0.36,0.368,0.34,0.372,0.402,0.352,0.308,0.346,0.342,0.268,0.324,0.342,0.35,0.35,0.382
0.164,0.298,0.312,0.314,0.192,0.24,0.202,0.188,0.318,0.262,0.286,0.302,0.29,0.314,0.294,0.284,0.272,1.0,0.302,0.31,0.356,0.312,0.314,0.27,0.272,0.268,0.248,0.286,0.302,0.232,0.332,0.316,0.334,0.236,0.306
0.18,0.45,0.374,0.456,0.194,0.2,0.196,0.18,0.366,0.294,0.35,0.422,0.374,0.352,0.408,0.392,0.396,0.302,1.0,0.304,0.384,0.392,0.372,0.406,0.426,0.362,0.292,0.708,0.362,0.298,0.328,0.43,0.38,0.29,0.398
0.134,0.454,0.532,0.46,0.152,0.214,0.184,0.192,0.432,0.326,0.454,0.426,0.436,0.478,0.432,0.43,0.366,0.31,0.304,1.0,0.482,0.436,0.524,0.366,0.424,0.494,0.278,0.322,0.416,0.346,0.342,0.418,0.478,0.32,0.476
0.098,0.518,0.524,0.494,0.106,0.176,0.152,0.138,0.468,0.412,0.466,0.492,0.486,0.496,0.526,0.484,0.36,0.356,0.384,0.482,1.0,0.508,0.504,0.392,0.498,0.556,0.312,0.372,0.456,0.34,0.404,0.442,0.524,0.366,0.554
0.134,0.508,0.46,0.446,0.134,0.19,0.176,0.18,0.44,0.392,0.478,0.48,0.504,0.454,0.47,0.418,0.368,0.312,0.392,0.436,0.508,1.0,0.452,0.382,0.468,0.494,0.34,0.388,0.43,0.344,0.404,0.458,0.562,0.408,0.464
0.132,0.5,0.52,0.494,0.136,0.19,0.164,0.17,0.462,0.384,0.472,0.484,0.506,0.514,0.52,0.476,0.34,0.314,0.372,0.524,0.504,0.452,1.0,0.432,0.482,0.454,0.288,0.38,0.55,0.356,0.358,0.478,0.584,0.332,0.512
0.168,0.422,0.384,0.464,0.172,0.212,0.186,0.17,0.384,0.346,0.358,0.426,0.384,0.396,0.434,0.418,0.372,0.27,0.406,0.366,0.392,0.382,0.432,1.0,0.416,0.366,0.274,0.368,0.414,0.32,0.308,0.382,0.38,0.312,0.428
0.13,0.582,0.52,0.558,0.15,0.182,0.16,0.18,0.456,0.388,0.474,0.548,0.476,0.494,0.614,0.534,0.402,0.272,0.426,0.424,0.498,0.468,0.482,0.416,1.0,0.49,0.32,0.392,0.524,0.326,0.38,0.506,0.476,0.378,0.58
0.106,0.474,0.504,0.502,0.116,0.164,0.144,0.146,0.502,0.348,0.486,0.466,0.488,0.5,0.5,0.444,0.352,0.268,0.362,0.494,0.556,0.494,0.454,0.366,0.49,1.0,0.304,0.348,0.432,0.352,0.362,0.45,0.504,0.364,0.504
0.17,0.33,0.294,0.306,0.19,0.186,0.168,0.204,0.268,0.294,0.242,0.324,0.286,0.292,0.288,0.29,0.308,0.248,0.292,0.278,0.312,0.34,0.288,0.274,0.32,0.304,1.0,0.282,0.294,0.24,0.302,0.314,0.31,0.266,0.298
0.158,0.42,0.358,0.428,0.176,0.188,0.176,0.176,0.374,0.294,0.338,0.436,0.392,0.372,0.388,0.394,0.346,0.286,0.708,0.322,0.372,0.388,0.38,0.368,0.392,0.348,0.282,1.0,0.388,0.298,0.292,0.408,0.366,0.296,0.404
0.128,0.476,0.442,0.44,0.148,0.17,0.148,0.156,0.414,0.332,0.412,0.49,0.448,0.46,0.592,0.444,0.342,0.302,0.362,0.416,0.456,0.43,0.55,0.414,0.524,0.432,0.294,0.388,1.0,0.304,0.346,0.45,0.586,0.34,0.52
0.156,0.338,0.33,0.366,0.152,0.172,0.158,0.168,0.33,0.292,0.302,0.344,0.338,0.304,0.332,0.342,0.268,0.232,0.298,0.346,0.34,0.344,0.356,0.32,0.326,0.352,0.24,0.298,0.304,1.0,0.292,0.364,0.33,0.312,0.326
0.172,0.362,0.376,0.374,0.182,0.23,0.208,0.194,0.314,0.378,0.31,0.348,0.316,0.332,0.354,0.342,0.324,0.332,0.328,0.342,0.404,0.404,0.358,0.308,0.38,0.362,0.302,0.292,0.346,0.292,1.0,0.336,0.372,0.3,0.364
0.134,0.554,0.454,0.53,0.15,0.17,0.146,0.162,0.43,0.336,0.418,0.502,0.43,0.464,0.506,0.492,0.342,0.316,0.43,0.418,0.442,0.458,0.478,0.382,0.506,0.45,0.314,0.408,0.45,0.364,0.336,1.0,0.492,0.348,0.498
0.126,0.524,0.482,0.47,0.136,0.192,0.164,0.162,0.468,0.366,0.504,0.466,0.536,0.474,0.51,0.454,0.35,0.334,0.38,0.478,0.524,0.562,0.584,0.38,0.476,0.504,0.31,0.366,0.586,0.33,0.372,0.492,1.0,0.348,0.498
0.144,0.354,0.358,0.36,0.17,0.186,0.166,0.19,0.388,0.374,0.33,0.394,0.398,0.356,0.352,0.35,0.35,0.236,0.29,0.32,0.366,0.408,0.332,0.312,0.378,0.364,0.266,0.296,0.34,0.312,0.3,0.348,0.348,1.0,0.362
0.122,0.57,0.546,0.574,0.142,0.184,0.16,0.154,0.504,0.37,0.468,0.544,0.486,0.546,0.63,0.538,0.382,0.306,0.398,0.476,0.554,0.464,0.512,0.428,0.58,0.504,0.298,0.404,0.52,0.326,0.364,0.498,0.498,0.362,1.0
