"AF009630.1 Lactococcus phage bIL170, complete genome","AF011378.1 Lactococcus phage SK1, complete genome","DQ054536.1 Lactococcus phage P008, complete genome","DQ227763.1 Lactococcus phage 712, complete genome","EU221285.1 Lactococcus phage bIBB29, complete genome","FJ848881.1 Lactococcus phage SL4, complete genome","FJ848882.1 Lactococcus phage CB13, complete genome","FJ848883.1 Lactococcus phage CB14, complete genome","FJ848884.1 Lactococcus phage CB19, complete genome","JQ740787.1 Lactococcus phage ASCC191, complete genome","JQ740788.1 Lactococcus phage ASCC273, complete genome","JQ740789.1 Lactococcus phage ASCC281, complete genome","JQ740804.1 Lactococcus phage ASCC465, complete genome","JQ740813.1 Lactococcus phage ASCC532, complete genome","KC182542.1 Lactococcus phage 340, complete genome","KC182544.1 Lactococcus phage 936, complete genome","KC182545.1 Lactococcus phage fd13, complete genome","KC182546.1 Lactococcus phage jm2, complete genome","KC182547.1 Lactococcus phage jm3, complete genome","KC182549.1 Lactococcus lactis phage p272, complete genome","KC182550.1 Lactococcus lactis phage P475, complete genome","KC182551.1 Lactococcus phage P680, complete genome","KC182552.1 Lactococcus phage phi7, complete genome","KC522412.1 Lactococcus phage CaseusJM1, complete genome","KM091442.1 Lactococcus phage phi15, complete genome","KM091444.1 Lactococcus phage phi145, complete genome","KP793102.1 Lactococcus phage 936 group phage PhiA.16, complete genome","KP793104.1 Lactococcus phage 936 group phage PhiB1127, complete genome","KP793105.1 Lactococcus phage 936 group phage Phi19.3, complete genome","KP793108.1 Lactococcus phage 936 group phage Phi5.12, complete genome","KP793118.1 Lactococcus phage 936 group phage PhiF0139, complete genome","KP793120.1 Lactococcus phage 936 group phage PhiL.18, complete genome","KP793121.1 Lactococcus phage 936 group phage Phi109, complete genome","KP793122.1 Lactococcus phage 936 group phage PhiL.6, complete genome","KP793123.1 Lactococcus phage 936 group phage Phi4.2, complete genome","KP793124.1 Lactococcus phage 936 group phage Phi44, complete genome","KP793125.1 Lactococcus phage 936 group phage Phi91127, complete genome","KP793129.1 Lactococcus phage 936 group phage PhiJF1, complete genome","KP793130.1 Lactococcus phage 936 group phage Phi155, complete genome","KP793131.1 Lactococcus phage 936 group phage PhiE1127, complete genome","KP793132.1 Lactococcus phage 936 group phage PhiM1127, complete genome","KP793133.1 Lactococcus phage 936 group phage PhiLj, complete genome","KP793134.1 Lactococcus phage 936 group phage PhiS0139, complete genome","KX346249.1 Lactococcus phage 16W23, complete genome","KX379664.1 Lactococcus phage 10W18, complete genome","KX379665.1 Lactococcus phage i0139, complete genome","KX379666.1 Lactococcus phage 3R16S, complete genome","KX379671.1 Lactococcus phage 13W11L, complete genome","KY554761.1 Lactococcus phage R31, complete genome","MF448554.1 Lactococcus phage 05601, complete genome","MF448555.1 Lactococcus phage 16802, complete genome","MF448556.1 Lactococcus phage 30804, complete genome","MF448557.1 Lactococcus phage 37201, complete genome","MF448558.1 Lactococcus phage 38503, complete genome","MF448559.1 Lactococcus phage 38507, complete genome","MF448560.1 Lactococcus phage 51701, complete genome","MF448561.1 Lactococcus phage 56003, complete genome","MF448562.1 Lactococcus phage 56301, complete genome","MF448563.1 Lactococcus phage 57001, complete genome","MF448564.1 Lactococcus phage 62601, complete genome","MF448565.1 Lactococcus phage 62605, complete genome","MF448566.1 Lactococcus phage 63302, complete genome","MF448567.1 Lactococcus phage 66901, complete genome","MF448568.1 Lactococcus phage 79201, complete genome","MF448569.1 Lactococcus phage 88605, complete genome","MF448570.1 Lactococcus phage 96401, complete genome","MF448571.1 Lactococcus phage 96403, complete genome","MF448572.1 Lactococcus phage 96603, complete genome","MF775669.1 Lactococcus phage LP8511, complete genome","MF775676.1 Lactococcus phage LP9207, complete genome","MF775678.1 Lactococcus phage LP9404, complete genome","MF775682.1 Lactococcus phage LP9609, complete genome","MF775685.1 Lactococcus phage LP9903, complete genome","MF775686.1 Lactococcus phage LP9908, complete genome","MF775693.1 Lactococcus phage LP0209, complete genome","MF775698.1 Lactococcus phage LP0903, complete genome","MF775703.1 Lactococcus phage LP1502a, complete genome","MG253647.1 Lactococcus phage vB_Llc_bIBB5g1, complete genome","MG253652.1 Lactococcus phage vB_Llc_bIBBF12, complete genome","MG779474.1 Lactococcus phage MP1, complete genome","MK301438.1 Lactococcus phage 8V08, complete genome","MK301440.1 Lactococcus phage MV10L, complete genome","MN552148.1 Lactococcus phage P1532, complete genome","MN552149.1 Lactococcus phage P656, complete genome","MN552150.1 Lactococcus phage P4565, complete genome","MN689514.1 Lactococcus phage CHPC129, complete genome","MN689517.1 Lactococcus phage CHPC361, complete genome","MN689518.1 Lactococcus phage CHPC362, complete genome","MN689519.1 Lactococcus phage CHPC52, complete genome","MN689520.1 Lactococcus phage CHPC781, complete genome","MN689522.1 Lactococcus phage CHPC958, complete genome","MN689523.1 Lactococcus phage CHPC959, complete genome","MN689524.1 Lactococcus phage CHPC964, complete genome","MN689525.1 Lactococcus phage CHPC965, complete genome"
0.134,0.096,0.094,0.066,0.088,0.126,0.156,0.164,0.158,0.482,1.0,0.176,0.188,0.13,0.098,0.088,0.17,0.126,0.124,0.094,0.106,0.086,0.186,0.134,0.128,0.09,0.096,0.09,0.142,0.116,0.126,0.096,0.102,0.11,0.118,0.13,0.096,0.142,0.082,0.09,0.092,0.116,0.14,0.1,0.084,0.088,0.098,0.142,0.132,0.082,0.116,0.08,0.096,0.076,0.072,0.118,0.082,0.074,0.094,0.08,0.092,0.1,0.124,0.112,0.098,0.108,0.098,0.102,0.13,0.15,0.15,0.128,0.126,0.132,0.124,0.098,0.102,0.082,0.098,0.106,0.11,0.09,0.11,0.13,0.092,0.1,0.124,0.122,0.074,0.154,0.09,0.102,0.116,0.104
0.128,0.112,0.114,0.078,0.092,0.1,0.1,0.094,0.104,0.134,0.176,1.0,0.722,0.662,0.094,0.086,0.146,0.104,0.106,0.094,0.086,0.102,0.152,0.1,0.1,0.11,0.082,0.08,0.118,0.104,0.102,0.104,0.12,0.096,0.096,0.106,0.116,0.104,0.09,0.106,0.106,0.09,0.108,0.098,0.076,0.078,0.104,0.116,0.096,0.074,0.112,0.1,0.126,0.078,0.072,0.086,0.096,0.072,0.088,0.088,0.086,0.092,0.086,0.096,0.078,0.098,0.102,0.096,0.084,0.096,0.104,0.094,0.096,0.09,0.09,0.088,0.098,0.092,0.094,0.106,0.104,0.1,0.106,0.144,0.08,0.086,0.09,0.11,0.092,0.11,0.1,0.096,0.108,0.09
0.134,0.11,0.114,0.07,0.094,0.1,0.108,0.096,0.112,0.124,0.188,0.722,1.0,0.554,0.11,0.09,0.156,0.124,0.106,0.098,0.09,0.104,0.146,0.108,0.098,0.102,0.084,0.09,0.112,0.108,0.104,0.106,0.11,0.1,0.1,0.102,0.11,0.114,0.084,0.1,0.098,0.086,0.12,0.11,0.082,0.074,0.1,0.116,0.104,0.098,0.12,0.092,0.11,0.078,0.076,0.094,0.1,0.062,0.086,0.08,0.078,0.096,0.084,0.104,0.082,0.098,0.112,0.096,0.09,0.102,0.114,0.098,0.092,0.102,0.088,0.092,0.096,0.088,0.092,0.108,0.108,0.098,0.104,0.152,0.084,0.084,0.1,0.108,0.09,0.136,0.084,0.104,0.102,0.09
0.122,0.102,0.118,0.082,0.088,0.108,0.086,0.088,0.092,0.106,0.13,0.662,0.554,1.0,0.1,0.092,0.118,0.098,0.092,0.088,0.074,0.096,0.13,0.092,0.094,0.09,0.07,0.086,0.114,0.09,0.092,0.088,0.1,0.09,0.094,0.096,0.098,0.1,0.07,0.086,0.082,0.074,0.1,0.09,0.072,0.076,0.094,0.108,0.09,0.078,0.09,0.092,0.108,0.072,0.066,0.09,0.092,0.064,0.092,0.088,0.08,0.094,0.086,0.094,0.074,0.094,0.1,0.098,0.09,0.106,0.114,0.106,0.106,0.102,0.096,0.09,0.088,0.084,0.088,0.088,0.088,0.084,0.096,0.132,0.074,0.074,0.084,0.098,0.098,0.11,0.1,0.088,0.104,0.086
0.206,0.126,0.216,0.09,0.17,0.12,0.108,0.12,0.11,0.108,0.098,0.094,0.11,0.1,1.0,0.09,0.112,0.104,0.11,0.206,0.2,0.234,0.11,0.104,0.134,0.11,0.106,0.098,0.14,0.102,0.112,0.116,0.124,0.122,0.098,0.136,0.126,0.12,0.114,0.124,0.11,0.106,0.12,0.114,0.144,0.086,0.152,0.118,0.098,0.104,0.106,0.122,0.084,0.104,0.098,0.096,0.204,0.094,0.098,0.116,0.086,0.122,0.084,0.106,0.114,0.112,0.098,0.104,0.126,0.134,0.128,0.096,0.1,0.116,0.114,0.1,0.212,0.174,0.178,0.114,0.122,0.128,0.104,0.136,0.108,0.096,0.114,0.108,0.106,0.104,0.09,0.12,0.104,0.088
0.11,0.272,0.148,0.12,0.09,0.11,0.09,0.174,0.084,0.088,0.088,0.086,0.09,0.092,0.09,1.0,0.106,0.104,0.14,0.078,0.096,0.084,0.08,0.14,0.126,0.092,0.068,0.076,0.128,0.086,0.1,0.086,0.086,0.084,0.112,0.128,0.082,0.094,0.084,0.078,0.082,0.08,0.094,0.078,0.068,0.08,0.084,0.126,0.066,0.092,0.088,0.104,0.108,0.096,0.094,0.134,0.09,0.062,0.124,0.094,0.082,0.126,0.1,0.102,0.236,0.126,0.246,0.21,0.118,0.096,0.098,0.104,0.106,0.106,0.098,0.082,0.078,0.088,0.09,0.086,0.072,0.076,0.066,0.114,0.088,0.084,0.096,0.094,0.214,0.156,0.144,0.17,0.174,0.098
0.13,0.126,0.15,0.082,0.106,0.132,0.136,0.1,0.128,0.152,0.17,0.146,0.156,0.118,0.112,0.106,1.0,0.146,0.142,0.102,0.112,0.098,0.168,0.198,0.124,0.11,0.12,0.11,0.152,0.13,0.262,0.108,0.112,0.12,0.122,0.126,0.098,0.272,0.092,0.086,0.09,0.11,0.16,0.096,0.116,0.09,0.118,0.15,0.098,0.076,0.134,0.088,0.122,0.094,0.09,0.132,0.114,0.062,0.18,0.102,0.096,0.122,0.104,0.154,0.118,0.092,0.116,0.136,0.124,0.138,0.146,0.12,0.118,0.108,0.112,0.106,0.106,0.106,0.092,0.114,0.116,0.098,0.116,0.138,0.138,0.092,0.11,0.116,0.104,0.236,0.092,0.116,0.15,0.116
0.134,0.104,0.116,0.078,0.074,0.108,0.116,0.106,0.122,0.126,0.126,0.104,0.124,0.098,0.104,0.104,0.146,1.0,0.144,0.104,0.102,0.088,0.106,0.116,0.128,0.072,0.096,0.1,0.162,0.112,0.11,0.078,0.076,0.086,0.106,0.128,0.078,0.116,0.062,0.068,0.062,0.102,0.106,0.072,0.1,0.1,0.098,0.158,0.094,0.084,0.104,0.086,0.1,0.068,0.074,0.114,0.088,0.062,0.13,0.08,0.076,0.114,0.104,0.098,0.094,0.098,0.088,0.11,0.136,0.16,0.156,0.142,0.132,0.132,0.104,0.104,0.104,0.072,0.08,0.076,0.074,0.08,0.08,0.132,0.12,0.096,0.154,0.114,0.084,0.136,0.104,0.11,0.114,0.12
0.118,0.204,0.108,0.092,0.094,0.11,0.114,0.102,0.1,0.108,0.124,0.106,0.106,0.092,0.11,0.14,0.142,0.144,1.0,0.092,0.096,0.086,0.122,0.156,0.126,0.098,0.09,0.088,0.106,0.12,0.122,0.088,0.086,0.104,0.11,0.128,0.08,0.116,0.078,0.08,0.08,0.098,0.1,0.092,0.096,0.082,0.1,0.11,0.074,0.09,0.112,0.09,0.116,0.092,0.088,0.142,0.076,0.074,0.144,0.074,0.106,0.14,0.122,0.116,0.142,0.102,0.144,0.192,0.118,0.124,0.126,0.12,0.116,0.106,0.102,0.094,0.088,0.1,0.092,0.086,0.066,0.08,0.086,0.116,0.13,0.096,0.116,0.112,0.14,0.134,0.094,0.136,0.246,0.084
0.21,0.08,0.168,0.078,0.15,0.082,0.086,0.094,0.084,0.094,0.094,0.094,0.098,0.088,0.206,0.078,0.102,0.104,0.092,1.0,0.276,0.206,0.092,0.086,0.092,0.11,0.072,0.078,0.106,0.096,0.078,0.104,0.112,0.124,0.08,0.094,0.102,0.082,0.088,0.108,0.088,0.08,0.086,0.11,0.138,0.08,0.142,0.1,0.066,0.102,0.074,0.1,0.082,0.084,0.086,0.102,0.174,0.098,0.08,0.088,0.082,0.094,0.078,0.084,0.094,0.078,0.076,0.082,0.104,0.1,0.11,0.084,0.082,0.082,0.082,0.068,0.16,0.152,0.158,0.1,0.1,0.116,0.072,0.1,0.086,0.084,0.086,0.082,0.074,0.08,0.084,0.088,0.086,0.092
0.212,0.098,0.176,0.07,0.198,0.1,0.126,0.09,0.08,0.104,0.106,0.086,0.09,0.074,0.2,0.096,0.112,0.102,0.096,0.276,1.0,0.206,0.098,0.11,0.108,0.14,0.08,0.11,0.13,0.098,0.106,0.116,0.138,0.142,0.098,0.114,0.116,0.11,0.114,0.108,0.116,0.09,0.112,0.114,0.148,0.09,0.166,0.122,0.066,0.078,0.074,0.122,0.108,0.078,0.102,0.098,0.248,0.074,0.078,0.08,0.094,0.088,0.094,0.106,0.07,0.09,0.092,0.094,0.104,0.12,0.12,0.11,0.11,0.094,0.082,0.08,0.196,0.194,0.184,0.106,0.104,0.098,0.084,0.114,0.07,0.086,0.098,0.088,0.084,0.108,0.088,0.106,0.094,0.1
0.194,0.076,0.182,0.072,0.14,0.106,0.132,0.098,0.116,0.092,0.086,0.102,0.104,0.096,0.234,0.084,0.098,0.088,0.086,0.206,0.206,1.0,0.09,0.106,0.134,0.146,0.14,0.108,0.126,0.086,0.104,0.14,0.15,0.136,0.106,0.132,0.15,0.116,0.154,0.136,0.142,0.134,0.118,0.136,0.154,0.116,0.162,0.124,0.156,0.09,0.14,0.124,0.098,0.11,0.098,0.088,0.214,0.1,0.088,0.098,0.064,0.114,0.09,0.098,0.086,0.128,0.078,0.076,0.112,0.108,0.114,0.084,0.082,0.11,0.096,0.104,0.236,0.134,0.16,0.15,0.144,0.148,0.15,0.12,0.116,0.092,0.108,0.112,0.074,0.09,0.086,0.098,0.084,0.09
0.164,0.11,0.12,0.066,0.078,0.112,0.128,0.098,0.11,0.144,0.186,0.152,0.146,0.13,0.11,0.08,0.168,0.106,0.122,0.092,0.098,0.09,1.0,0.136,0.108,0.086,0.082,0.102,0.112,0.144,0.142,0.088,0.102,0.102,0.132,0.114,0.084,0.152,0.076,0.08,0.078,0.096,0.134,0.09,0.106,0.1,0.116,0.114,0.132,0.068,0.122,0.088,0.106,0.068,0.066,0.108,0.086,0.062,0.122,0.098,0.092,0.106,0.11,0.114,0.084,0.096,0.068,0.082,0.116,0.134,0.128,0.128,0.132,0.11,0.112,0.118,0.106,0.07,0.084,0.106,0.096,0.082,0.122,0.108,0.112,0.1,0.1,0.106,0.094,0.12,0.104,0.086,0.116,0.112
0.116,0.162,0.124,0.086,0.096,0.122,0.144,0.104,0.11,0.112,0.134,0.1,0.108,0.092,0.104,0.14,0.198,0.116,0.156,0.086,0.11,0.106,0.136,1.0,0.126,0.104,0.102,0.124,0.124,0.102,0.174,0.086,0.106,0.11,0.112,0.128,0.092,0.164,0.094,0.08,0.096,0.108,0.128,0.116,0.118,0.094,0.108,0.13,0.088,0.104,0.12,0.092,0.112,0.092,0.09,0.17,0.108,0.058,0.3,0.068,0.078,0.128,0.106,0.132,0.108,0.1,0.132,0.172,0.11,0.132,0.146,0.134,0.13,0.13,0.112,0.104,0.096,0.092,0.088,0.094,0.094,0.092,0.108,0.13,0.118,0.076,0.13,0.108,0.116,0.16,0.09,0.132,0.122,0.156
